CompoundID	SMILES
100319	Cc1cc(C)c(Br)c(c1)[N+](=O)[O-]
100867	[O-][N+](=O)c1ccc(Cl)c(CN2C=Cc3ccccc3C2C(Br)(Br)Br)c1
100321	COC(=O)c1cc(C)c(Br)c(c1)[N+](=O)[O-]
100888	CC(=O)NC1(C)CCC2(C)CC1(C)C(=[N]C2(C)C)C
100322	CC(Cc1ccccc1)NC(=O)C=CC(=O)O
100894	CC(C)OP(=O)(Nc1ccc(Br)cc1)OC(C)C
100323	CCOC(=O)CNC(=O)NC(C)c1ccccc1
100900	CC(C)OP(=O)(Nc1nc2ccccc2[nH]1)OC(C)C
101969	CCc1[n+](CC(=O)c2ccccc2)ccn3c(C)ccc13
102953	CCOC(=O)C=C(C)Sc1cc(=O)oc2ccccc12
101970	O=C(C[N+]1=C(c2cccn2CC1)c3ccccc3)c4ccccc4
102955	CCOC(=O)c1c(O)c2ccccc2oc1=O
101979	CCCC1=[N+](CC(=O)c2ccccc2)CCn3c(C)ccc13
102959	CCC(=O)CC(c1ccccc1)c2c(O)c3ccccc3oc2=O
101981	COC(=O)C[n+]1ccn2cccc2c1C
102962	CCSC(=O)c1cc2ccccc2oc1=O
101989	Cc1ccc2[n+](CC(=O)c3ccccc3)cccc2c1
102974	ClCCNC(=O)c1cc2ccccc2oc1=O
101990	Cc1ccc(cc1)C(=O)C[n+]2cccc3cc(C)ccc23
102975	OCCNC(=O)c1cc2ccccc2oc1=O
101995	C[n+]1cccc2cc(O)ccc12
102983	Oc1c(Sc2ccccc2)c(=O)oc3ccccc13
102000	COc1ccc2[n+](C)cccc2c1
102990	O=C(OCc1ccc2OCOc2c1)c3cc4ccccc4oc3=O
102003	COc1ccc2[n+](CC(=O)c3ccccc3)cccc2c1
103027	O=C(Nc1ccc(cc1)c2ccccc2)c3cc4ccccc4oc3=O
102004	COc1ccc2[n+](CC(=O)c3ccc(C)cc3)cccc2c1
103104	Brc1ccc(C=Nn2cnnc2)cc1
100327	Clc1ccc(cc1)N2N=CCC2c3ccccc3
100905	CCN(CC)P(=O)(OC(C)C)OC(C)C
100336	NC(=S)N1CCC(=N1)c2ccccc2
101108	CC(=NOCON=C(C)c1ccccc1Cl)c2ccccc2Cl
100343	Cc1nn(Cc2ccccc2)c(C)c1C(=O)O
101202	CC(=NOCCCl)C(=NOCCCl)C
100353	Cc1cc(C)c(N2CCC(=O)N2)c(C)c1
101212	[O-][N+](=O)c1ccc(NN=CC(=O)c2ccccc2)c(c1)[N+](=O)[O-]
